Category,Control,Mod
Account,Security contact information should be provided for an AWS account,Compliance
Account,AWS account should be part of AWS Organizations,Compliance
EC2,Ensure Images (AMI's) are encrypted,Compliance
EC2,Ensure Images (AMI) are not older than 90 days,Compliance
EC2,EC2 AMIs should restrict public access,Compliance
EC2,EC2 Client VPN endpoints should have client connection logging enabled,Compliance
EC2,EBS default encryption should be enabled,Compliance
EC2,Ensure EBS volumes attached to an EC2 instance is marked for deletion upon instance termination,Compliance
EC2,EC2 instance detailed monitoring should be enabled,Compliance
EC2,EC2 instance should have EBS optimization enabled,Compliance
EC2,EC2 instances should have IAM profile attached,Compliance
EC2,EC2 instances should be in a VPC,Compliance
EC2,EC2 instances should not use key pairs in running state,Compliance
EC2,EC2 instances high level findings should not be there in inspector scans,Compliance
EC2,EC2 instance IAM should not allow pass role and lambda invoke function access.,Compliance
EC2,EC2 instance IAM role should not be attached with credentials exposure access,Compliance
EC2,EC2 instance IAM role should not allow to alter critical s3 permissions configuration,Compliance
EC2,EC2 instance IAM role should not allow cloud log tampering access,Compliance
EC2,EC2 instance IAM role should not allow data destruction access,Compliance
EC2,EC2 instance IAM role should not allow database management write access,Compliance
EC2,EC2 instance IAM role should not allow defense evasion impact of AWS security services access,Compliance
EC2,EC2 instance IAM role should not allow destruction KMS access,Compliance
EC2,EC2 instance IAM role should not allow destruction RDS access,Compliance
EC2,EC2 instance IAM role should not allow elastic IP hijacking access.,Compliance
EC2,EC2 instance IAM role should not allow management level access,Compliance
EC2,EC2 instance IAM role should not allow new group creation with attached policy access,Compliance
EC2,EC2 instance IAM role should not allow new role creation with attached policy access,Compliance
EC2,EC2 instance IAM role should not allow new user creation with attached policy access,Compliance
EC2,EC2 instance IAM role should not allow oraganization write access,Compliance
EC2,EC2 instance IAM role should not allow privilege escalation risk access,Compliance
EC2,EC2 instance IAM role should not allow security group write access,Compliance
EC2,EC2 instance IAM role should not allow write access to resource based policies,Compliance
EC2,EC2 instance IAM role should not allow write permission on critical s3 configuration,Compliance
EC2,EC2 instance IAM role should not allow write level access,Compliance
EC2,EC2 instances should not be attached to 'launch wizard' security groups,Compliance
EC2,Ensure no AWS EC2 Instances are older than 180 days,Compliance
EC2,EC2 instances should not have a public IP address,Compliance
EC2,EC2 instances should not use multiple ENIs,Compliance
EC2,EC2 instances should be protected by backup plan,Compliance
EC2,Public EC2 instances should have IAM profile attached,Compliance
EC2,AWS EC2 instances should have termination protection enabled,Compliance
EC2,EC2 instances user data should not have secrets,Compliance
EC2,EC2 instances should use IMDSv2,Compliance
EC2,Paravirtual EC2 instance types should not be used,Compliance
